# Candidate barrier compositions that exhibit 1% or less lattice mismatch on GaN
# and present extreme fields (>8 MV/cm) in 2 nm In0.3Ga0.7N quantum wells.
# These candidate compositions can be used as a starting point for tailoring the optical emission energy
# by tuning the well and barrier thicknesses.# The polarization fields were calculated for configurations with 18 nm barriers.
[Al] , [Ga] , [In] , P[MV/cm]
0.52 , 0.45 , 0.02999999999999997 , 8.716907766840134
0.53 , 0.42 , 0.04999999999999999 , 8.213543391321558
0.53 , 0.43 , 0.03999999999999998 , 8.5104100812591
0.53 , 0.44 , 0.02999999999999997 , 8.811843191443261
0.54 , 0.4 , 0.05999999999999994 , 8.010935449596337
0.54 , 0.41000000000000003 , 0.04999999999999993 , 8.305232218225845
0.54 , 0.42 , 0.03999999999999998 , 8.604032082899655
0.54 , 0.43 , 0.02999999999999997 , 8.907422575482073
0.55 , 0.39 , 0.05999999999999994 , 8.101336626100576
0.55 , 0.4 , 0.04999999999999993 , 8.397551162361996
0.55 , 0.41000000000000003 , 0.039999999999999925 , 8.698292607564598
0.56 , 0.38 , 0.05999999999999994 , 8.192362642088005
0.56 , 0.39 , 0.04999999999999993 , 8.490503261316958
0.56 , 0.4 , 0.039999999999999925 , 8.793194733336863
0.5700000000000001 , 0.37 , 0.05999999999999994 , 8.284016511456034
0.5700000000000001 , 0.38 , 0.04999999999999993 , 8.584091568882844
0.5700000000000001 , 0.39 , 0.039999999999999925 , 8.888741554734159
0.58 , 0.35000000000000003 , 0.07 , 8.078794520858544
0.58 , 0.36 , 0.06000000000000005 , 8.376301264180068
0.58 , 0.37 , 0.050000000000000044 , 8.67831915515625
0.58 , 0.38 , 0.040000000000000036 , 8.98493618281186
0.59 , 0.34 , 0.07 , 8.169785745347857
0.59 , 0.35000000000000003 , 0.06 , 8.469219946412501
0.59 , 0.36 , 0.050000000000000044 , 8.773189106638092
0.59 , 0.37 , 0.040000000000000036 , 9.081781745263271
0.6 , 0.33 , 0.07 , 8.26140561643006
0.6 , 0.34 , 0.06 , 8.562775620580089
0.6 , 0.35000000000000003 , 0.04999999999999999 , 8.868704526333442
0.61 , 0.31 , 0.08000000000000002 , 8.054838029047273
0.61 , 0.32 , 0.07 , 8.35365717293041
0.61 , 0.33 , 0.06 , 8.656971365485918
0.61 , 0.34 , 0.04999999999999999 , 8.96486853385476
0.62 , 0.3 , 0.08000000000000002 , 8.145795390038902
0.62 , 0.31 , 0.07 , 8.446543469924217
0.62 , 0.32 , 0.06 , 8.751810276408198
0.62 , 0.33 , 0.04999999999999999 , 9.061684265521698
0.63 , 0.29 , 0.08000000000000002 , 8.237382227079072
0.63 , 0.3 , 0.07 , 8.540067578834941
0.63 , 0.31 , 0.06 , 8.847295465202514
0.63 , 0.32 , 0.04999999999999999 , 9.15915487446564
0.64 , 0.27 , 0.08999999999999997 , 8.02944918758545
0.64 , 0.28 , 0.07999999999999996 , 8.329601588205936
0.64 , 0.29 , 0.07 , 8.634232587536054
0.64 , 0.3 , 0.06 , 8.943430060402878
0.64 , 0.31 , 0.04999999999999999 , 9.257283530732757
0.65 , 0.26 , 0.08999999999999997 , 8.120373616858194
0.65 , 0.27 , 0.07999999999999996 , 8.42245653778469
0.65 , 0.28 , 0.06999999999999995 , 8.729041600451495
0.65 , 0.29 , 0.06 , 9.040217207325501
0.66 , 0.25 , 0.08999999999999997 , 8.211928388558228
0.66 , 0.26 , 0.07999999999999996 , 8.51595015660525
0.66 , 0.27 , 0.06999999999999995 , 8.824497738657623
0.66 , 0.28 , 0.05999999999999994 , 9.137660068171396
0.67 , 0.23 , 0.09999999999999995 , 8.00260936248124
0.67 , 0.24 , 0.08999999999999997 , 8.304116560309993
0.67 , 0.25 , 0.07999999999999996 , 8.610085541985331
0.67 , 0.26 , 0.06999999999999995 , 8.92060413998585
0.67 , 0.27 , 0.05999999999999994 , 9.235761822130673
0.68 , 0.22 , 0.09999999999999995 , 8.093501794998197
0.68 , 0.23 , 0.08999999999999994 , 8.3969412061429
0.68 , 0.24 , 0.07999999999999996 , 8.704865807870151
0.68 , 0.25 , 0.06999999999999995 , 9.017363959125676
0.68 , 0.26 , 0.05999999999999994 , 9.33452566548731
0.6900000000000001 , 0.21 , 0.09999999999999995 , 8.185025473946604
0.6900000000000001 , 0.22 , 0.08999999999999994 , 8.490405416592601
0.6900000000000001 , 0.23 , 0.07999999999999993 , 8.80029408493784
0.6900000000000001 , 0.24 , 0.06999999999999995 , 9.114780367728597
0.7000000000000001 , 0.2 , 0.09999999999999992 , 8.277183466917036
0.7000000000000001 , 0.21 , 0.08999999999999994 , 8.584512298802942
0.7000000000000001 , 0.22 , 0.07999999999999993 , 8.89637352069927
0.7000000000000001 , 0.23 , 0.06999999999999992 , 9.212856554513458
0.71 , 0.18 , 0.11000000000000004 , 8.065160597803908
0.71 , 0.19 , 0.10000000000000003 , 8.369978857988922
0.71 , 0.2 , 0.09000000000000002 , 8.679264976627355
0.71 , 0.21 , 0.08000000000000004 , 8.993107279604407
0.71 , 0.22 , 0.07000000000000003 , 9.311595725371431
0.72 , 0.17 , 0.11000000000000001 , 8.156654159861016
0.72 , 0.18 , 0.10000000000000003 , 8.463414747831056
0.72 , 0.19 , 0.09000000000000002 , 8.7746665907329
0.72 , 0.2 , 0.08000000000000002 , 9.09049854314598
0.72 , 0.21 , 0.07000000000000003 , 9.411001103472051
0.73 , 0.16 , 0.11000000000000001 , 8.248782988648404
0.73 , 0.17 , 0.1 , 8.557494253805062
0.73 , 0.18 , 0.09000000000000002 , 8.870720298704025
0.73 , 0.19 , 0.08000000000000002 , 9.188550509965069
0.73 , 0.2 , 0.07 , 9.511075929370259
0.74 , 0.14 , 0.12 , 8.03532997728341
0.74 , 0.15 , 0.11000000000000001 , 8.341550178689111
0.74 , 0.16 , 0.1 , 8.652220510067124
0.74 , 0.17 , 0.09 , 8.967429275146925
0.74 , 0.18 , 0.08000000000000002 , 9.28726639595665
0.75 , 0.13 , 0.12 , 8.126794400925323
0.75 , 0.14 , 0.10999999999999999 , 8.434958841183002
0.75 , 0.15 , 0.1 , 8.74759666767301
0.75 , 0.16 , 0.09 , 9.064796711794619
0.75 , 0.17 , 0.07999999999999999 , 9.386649434377519
0.76 , 0.12 , 0.12 , 8.218895083497301
0.76 , 0.13 , 0.10999999999999999 , 8.529012104110816
0.76 , 0.14 , 0.09999999999999998 , 8.843625894682067
0.76 , 0.15 , 0.09 , 9.162825817613832
0.76 , 0.16 , 0.07999999999999999 , 9.48670287595305
0.77 , 0.1 , 0.12999999999999998 , 8.00398913741974
0.77 , 0.11 , 0.11999999999999998 , 8.311635130370012
0.77 , 0.12 , 0.10999999999999999 , 8.623713112335784
0.77 , 0.13 , 0.09999999999999998 , 8.940311376262718
0.77 , 0.14 , 0.08999999999999997 , 9.261519818910813
0.77 , 0.15 , 0.07999999999999999 , 9.587429988986344
0.78 , 0.09 , 0.12999999999999998 , 8.09542540303329
0.78 , 0.1 , 0.11999999999999997 , 8.405017663682434
0.78 , 0.11 , 0.10999999999999997 , 8.719065027711457
0.78 , 0.12 , 0.09999999999999998 , 9.037656314798063
0.78 , 0.13 , 0.08999999999999997 , 9.360881959439633
0.78 , 0.14 , 0.07999999999999996 , 9.688834059466227
0.79 , 0.08 , 0.12999999999999995 , 8.187498960045774
0.79 , 0.09 , 0.11999999999999997 , 8.499045822444522
0.79 , 0.1 , 0.10999999999999996 , 8.815071029184079
0.79 , 0.11 , 0.09999999999999996 , 9.1356639299936
0.79 , 0.12 , 0.08999999999999997 , 9.460915500509987
0.8 , 0.07 , 0.12999999999999995 , 8.280212925089609
0.8 , 0.08 , 0.11999999999999995 , 8.593722762643562
0.8 , 0.09 , 0.10999999999999996 , 8.911734312900364
0.8 , 0.1 , 0.09999999999999995 , 9.23433745898319
0.8 , 0.11 , 0.08999999999999996 , 9.56162372109757
0.81 , 0.05 , 0.13999999999999996 , 8.062525595339682
0.81 , 0.06 , 0.12999999999999995 , 8.37357043166021
0.81 , 0.07 , 0.11999999999999994 , 8.689051657348124
0.81 , 0.08 , 0.10999999999999995 , 9.009058092313278
0.81 , 0.09 , 0.09999999999999995 , 9.333680156439616
0.81 , 0.1 , 0.08999999999999994 , 9.663009917951223
0.8200000000000001 , 0.04 , 0.13999999999999993 , 8.154573049405863
0.8200000000000001 , 0.05 , 0.12999999999999995 , 8.467574630220037
0.8200000000000001 , 0.06 , 0.11999999999999994 , 8.785035696814727
0.8200000000000001 , 0.07 , 0.10999999999999993 , 9.107045598289755
0.8200000000000001 , 0.08 , 0.09999999999999994 , 9.433695294681264
0.8200000000000001 , 0.09 , 0.08999999999999994 , 9.765077405707357
0.8300000000000001 , 0.03 , 0.13999999999999993 , 8.247261996729174
0.8300000000000001 , 0.04 , 0.12999999999999992 , 8.562228688304515
0.8300000000000001 , 0.05 , 0.11999999999999993 , 8.881678088594061
0.8300000000000001 , 0.06 , 0.10999999999999993 , 9.205700079220355
0.8300000000000001 , 0.07 , 0.09999999999999992 , 9.534386163783527
0.84 , 0.01 , 0.15000000000000002 , 8.028072600908242
0.84 , 0.02 , 0.14000000000000004 , 8.340595582590604
0.84 , 0.03 , 0.13000000000000003 , 8.657535790627447
0.84 , 0.04 , 0.12000000000000002 , 8.978982057639879
0.84 , 0.05 , 0.11000000000000003 , 9.305024801126043
0.84 , 0.06 , 0.10000000000000003 , 9.635756071689256
0.85 , 0.0 , 0.15000000000000002 , 8.120094975815329
0.85 , 0.01 , 0.14 , 8.434576969336655
0.85 , 0.02 , 0.13000000000000003 , 8.753499139188776
0.85 , 0.03 , 0.12000000000000002 , 9.076950846415784
0.85 , 0.04 , 0.11000000000000001 , 9.4050230477694
0.85 , 0.05 , 0.10000000000000002 , 9.7378083443196
0.86 , 0.0 , 0.14 , 8.5292093364881
0.86 , 0.01 , 0.13 , 8.850121953381503
0.86 , 0.02 , 0.12000000000000001 , 9.17558771500501
0.86 , 0.03 , 0.11000000000000001 , 9.505698120766022
0.86 , 0.04 , 0.1 , 9.840546325686638
0.87 , 0.0 , 0.13 , 8.947407470100543
0.87 , 0.01 , 0.12000000000000001 , 9.274895941220894
0.87 , 0.02 , 0.11 , 9.607053339694039
0.87 , 0.03 , 0.1 , 9.943973378006662
0.88 , 0.0 , 0.12 , 9.374878820716104
0.88 , 0.01 , 0.11 , 9.709092042207303
0.89 , 0.0 , 0.10999999999999999 , 9.811817584148882
